ID,label,SMILES,VAE1,VAE2,VAE3,VAE4,VAE5,VAE6,VAE7,VAE8,VAE9,VAE10,VAE11,VAE12,VAE13,VAE14,VAE15,VAE16,VAE17,VAE18,VAE19,VAE20,VAE21,VAE22,VAE23,VAE24,VAE25,VAE26,VAE27,VAE28,VAE29,VAE30,VAE31,VAE32,VAE33,VAE34,VAE35,VAE36,VAE37,VAE38,VAE39,VAE40,VAE41,VAE42,VAE43,VAE44,VAE45,VAE46,VAE47,VAE48,VAE49,VAE50,VAE51,VAE52,VAE53,VAE54,VAE55,VAE56,VAE57,VAE58,VAE59,VAE60,VAE61,VAE62,VAE63,VAE64
A146A856,0,O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-6.297599792,-0.822607756,2.452360868,-0.973580837,6.483718872,0.028989621,-3.010178566,-0.891375542,1.927722812,0.896900833,0.388666868,-0.88295567,0.625806034,0.313611239,4.378382206,1.476070046,1.619223237,-3.90102911,3.292178154,-0.909957111,2.052717924,-0.731324077,0.662497342,-1.324074507,1.364042521,-4.020219326,0.953303277,4.832079411,0.917880833,-1.317843676,-2.545121431,1.780071974,-2.767144918,2.212556124,-5.015033722,-2.509304285,0.251994789,0.093018062,-5.609373093,0.338776976,-2.29156208,-0.76729238,1.200837731,-0.336674958,-2.443338394,0.863697708,0.251242131,2.268128633,-2.012596369,-1.221014023,5.508261681,6.777808189,1.964759707,-0.725273848,-1.714819193,-0.324293166,7.400152683,3.084847927,-0.291137427,-8.314126968,0.249698639,3.732142448,0.412777036,1.908427477
J366,1,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc([N+](=O)[O-])c2n1,0.529081643,-1.445265174,-1.143914461,-1.435478806,2.65596962,0.472386062,0.534045219,-0.267280519,2.702775002,-2.004397869,2.4578619,-1.571994305,-0.253035188,1.885746241,1.584704161,1.649867535,0.479062349,0.029518336,0.348101854,-2.044701815,1.099968195,0.719665408,-2.585256338,-0.586507976,0.770200849,-1.455994248,-1.233525753,3.853571415,-1.728471756,-0.384566158,-0.087231368,-0.737471998,0.700181603,2.740914822,-1.578919888,2.094059706,1.470432639,1.372826695,-1.478024602,1.128495812,1.026123524,-2.543123007,-1.071470022,1.342474222,2.569090128,0.903907359,0.907134295,-0.82585746,0.334783345,-1.043137789,-0.512338459,2.349510193,0.301765859,-1.652789474,0.372871101,-0.31203413,1.059775949,1.374808431,1.37541306,-1.479547739,0.255390257,-2.24364996,-0.729925036,3.473335505
J984,0,COc1ccc(Nc2ccc(CCNCC(O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1-c1ccccc1,1.568928838,-2.726031542,5.142622471,-1.201478243,2.876396894,0.048343912,-4.289927483,-1.223377466,3.506332874,-0.363020152,3.977632999,1.172262669,0.304805726,5.814295769,6.439834595,0.69462806,-0.775262117,0.515877545,0.633003712,-4.146690845,-1.814713836,2.249584436,0.592032254,0.724605322,0.834177852,2.844091177,-1.086187005,4.194852829,-6.309518337,3.724429607,-2.804700136,4.508111,0.656174004,3.3380301,-0.408322185,1.491194129,3.49633193,5.238452435,3.533689976,6.827363968,-1.916105032,-1.795007467,-1.439401865,1.715707541,1.060137987,-2.338814735,0.431227088,0.565147221,0.646505773,-1.29020226,1.534059167,-1.577578545,-1.752677321,-1.264313936,-0.762329757,-0.764384031,0.296736658,-2.11305809,3.116693258,-3.64211607,0.170152053,-0.070952281,-2.316049099,5.211063385
J1233,1,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,-1.990605831,0.037748948,-1.960556626,1.163629651,0.312563032,-0.930589855,-0.930518627,-0.822144449,1.483149052,-1.220087767,-0.486905426,-0.530093551,0.287144721,-1.101217747,0.146826908,-0.359583795,1.650711179,-1.131349683,-0.06930314,0.521061838,-0.189817011,-0.785136402,0.886460125,-1.910369039,-0.127682537,-2.707395554,1.8842237,0.972701192,0.089482069,-1.272996426,0.90245235,-3.204173088,0.494543612,0.192960769,0.883923113,2.6677351,-0.119947806,-0.218815818,-0.972812831,-1.877932787,1.35061717,0.928741753,-1.057502508,-0.206999093,-0.621266901,1.580337048,-1.629952073,0.03183439,1.510727286,0.4626261,0.730595112,1.47653389,-0.6011374,0.343782008,-0.447654724,0.451342255,0.210338011,1.154541969,1.097572088,1.459505677,0.19959484,-0.59924221,-0.955443382,-0.131165043
J748,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.930183411,-1.852474213,0.481864482,-1.03807807,1.032901645,2.464568138,0.288784742,0.848040283,1.241402984,0.67628479,0.798389435,-1.460254073,0.465434998,1.467328191,2.993335247,-0.165315658,1.734392524,1.518382907,-0.196512535,-0.273401946,0.210018277,-0.286874324,0.500890315,-0.831519544,-1.759248137,1.386554718,1.089986563,2.622720242,-2.085755348,-0.606354117,-1.648022056,-0.115179569,2.052191734,1.386364818,1.344211459,1.265810013,1.127209902,0.946665049,1.492872715,1.163217306,1.042978764,-2.129556179,-0.895758092,-0.033574767,1.280340195,2.017330885,0.067266494,-2.434777975,0.330804437,0.646379411,-0.395854861,-0.873073459,0.435006201,-0.362997949,1.990893364,0.986807287,-0.76979804,0.481695652,-0.007819928,-1.94502461,-1.718904495,-0.639043629,1.502226353,1.07695353
J344,1,CCCCCCCCCCCCOS(=O)(=O)O,-4.90718317,-1.20039463,0.367562473,-2.265030861,-0.128362358,-3.647919178,-1.301952362,-1.32154429,-0.43003878,-0.388828635,-1.43230617,0.848834157,2.731623173,-1.68499589,0.511764705,1.010468483,2.147007465,0.453834713,0.873108327,2.525195599,-0.287685156,0.246167958,-0.84954828,0.967376888,-1.871932864,-0.021861281,0.844316363,1.206111789,1.026279092,0.649882138,-0.750104129,-1.068549752,2.274739265,-0.913247168,-0.82349813,1.249127984,-3.492143631,1.582027912,1.256643653,-1.472077847,2.231641293,0.861251056,-0.747299194,0.125876307,-2.485186815,0.28292641,1.963323712,1.294714928,1.377408504,-0.408713073,0.657305419,1.120654106,1.480084777,-4.293095589,-0.026219249,-0.519940317,1.712669015,-2.823464155,2.994779825,-1.126435161,-0.191308111,-0.152981505,1.497396946,0.230435744
A146A858,0,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-2.026572227,-1.118209958,-1.771948814,0.256697088,0.261520147,-1.609505296,-0.537177384,-1.031711102,2.018211126,-0.866043448,-0.549958289,0.11363934,-0.910254478,-1.215272307,-1.231973529,-2.542506218,2.887444973,-0.720452905,-0.970367908,0.357186437,-0.678572655,1.325376868,1.053368807,-2.368867397,-0.779989541,-3.460084915,-0.626957119,1.133104801,0.122611821,-0.129364863,0.004458064,-2.252058744,2.356620789,0.743386865,-0.552992702,1.857987523,1.80630517,0.817315161,-0.820154905,-0.726616561,2.240669727,0.439880192,-0.98244071,-1.165174007,0.476140231,1.821861625,-1.912395,1.255264997,-1.219432235,-1.039247274,0.954428911,1.709294081,-0.625136256,0.58075738,-0.910618901,-0.521867633,0.246455863,1.89608264,0.16756475,0.403802663,1.683264613,0.20033814,-1.16782999,0.275551409
J1013,1,C=C1C=CC(C(C)C)CC1,-2.153123856,1.671971917,-2.155147552,-0.262299448,-0.677817225,-0.268791437,1.174233556,-1.164858222,-1.422981143,1.091926932,0.070930071,-0.397136629,0.657720268,-2.848669767,-0.352197409,-0.747123241,0.80542326,-1.255756855,-0.356186241,1.272349596,1.068269372,-1.709468484,-0.108416222,-0.462999463,-1.23247087,-0.308638662,-0.122532696,0.380188793,0.07100229,-1.590036392,-0.4861027,-1.350959778,1.384102941,-1.195685267,0.643466413,2.503257036,-1.712674379,-2.074498177,-0.591299236,-0.718064368,0.275605023,0.252157599,-1.007737041,0.857432723,-0.606913686,0.39035517,-1.364879012,-2.098896027,-0.679371238,0.060699798,-0.200504556,-1.075515747,-0.643500447,-2.264084101,0.709588826,0.968236625,0.499522835,0.275219142,-1.153126717,0.380726606,-0.026847258,-0.308149546,0.220891222,-0.615870893
J1183,1,Cn1sc2c(c1=O)CCC2,-1.457236171,1.165663958,-2.136358261,0.113858156,-1.72548902,-0.729352057,1.054616928,0.046780951,-0.566361189,-1.060327649,0.050466169,-0.643621743,0.552675366,-2.439054012,-1.898795605,0.238032728,-1.04091537,-2.161078691,1.051949978,1.81460619,0.512646854,-2.083670855,0.177773178,-0.593894601,-2.224814177,-1.920484304,0.28625986,-0.121254131,0.922684669,-1.199842691,0.857021689,-1.809998274,1.558788896,-0.899698257,0.937291145,1.834538937,0.499736071,-0.786284089,-0.479206502,-0.990461588,-0.413826495,-0.972122073,-0.646741629,-0.119580626,-1.698370814,-0.593676805,0.916538417,0.637731671,0.63465488,-0.425895482,-1.034777164,-0.13355051,-0.740685642,0.827161789,-0.381633818,0.580145955,0.082347378,2.041767836,0.755669594,0.343659967,-1.476014614,-0.730637133,-1.029100299,-0.365596175
J421,1,COc1cc(N=c2c(C#N)c[nH]c3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0.492260873,-2.019439936,2.971884489,-0.952051103,3.584131002,-0.484758347,-2.676273823,-0.128407344,2.72897315,0.750709474,2.557288647,-0.04638572,0.106146738,3.585671663,2.502504349,0.438833147,0.698101938,-0.436514735,-0.659556925,-3.158481598,-1.864975333,2.187841415,-1.708905101,-2.751668453,2.423478603,1.031223178,0.681947112,3.942981482,-4.005349636,1.341222405,-0.748245001,-0.128650919,1.451094151,4.417332172,-3.980941296,1.254377723,2.905611992,5.129102707,1.259637594,5.625442028,-0.220055535,-1.881210566,-2.051476955,1.705572486,2.488515615,-2.215838432,-1.368953705,0.467247874,0.054595988,-0.382430911,1.48133564,-1.385885715,-2.457182884,-2.514866829,-0.692711234,0.935423434,-1.631885767,-0.406310439,1.100469232,-2.028131008,0.766223967,-0.741626561,-3.118778467,3.12075758
J175,0,CCn1c(O)c(C(N)=O)c(C)c(N=Nc2ccc(N=Nc3cc(OCCO)c(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)cc(O)c5c4O)cc3OCCO)c(S(=O)(=O)O)c2)c1=O,6.788662434,-16.26405144,21.41467476,-1.519938111,13.43180561,-7.848223686,-17.65804291,-4.539643288,8.722705841,-2.038936138,15.69433403,5.323289394,8.923243523,25.96269608,16.14422989,-2.73485446,4.810438156,4.299403667,4.951726913,-14.66547012,-6.756070137,11.309268,-1.602562308,0.672136188,9.114714622,3.353298426,-6.900585175,12.43739414,-11.2387228,14.33325291,-6.104246616,14.43493938,-6.35899353,13.70890713,-17.57062721,-7.022754192,18.39975548,12.2092495,8.740911484,16.64421844,-12.19315338,-1.921320438,-2.983057499,-1.981307626,-0.76761657,-12.46442223,7.418390751,4.12183857,5.974512577,-8.732234001,7.162504196,-2.580043316,4.176032543,-4.207664967,-8.310992241,-8.362010002,3.087925911,-18.86058426,7.817963123,-10.55495548,3.13491559,8.447296143,-4.823910236,13.88313103
