ID,label,SMILES,VAE1,VAE2,VAE3,VAE4,VAE5,VAE6,VAE7,VAE8,VAE9,VAE10,VAE11,VAE12,VAE13,VAE14,VAE15,VAE16,VAE17,VAE18,VAE19,VAE20,VAE21,VAE22,VAE23,VAE24,VAE25,VAE26,VAE27,VAE28,VAE29,VAE30,VAE31,VAE32,VAE33,VAE34,VAE35,VAE36,VAE37,VAE38,VAE39,VAE40,VAE41,VAE42,VAE43,VAE44,VAE45,VAE46,VAE47,VAE48,VAE49,VAE50,VAE51,VAE52,VAE53,VAE54,VAE55,VAE56,VAE57,VAE58,VAE59,VAE60,VAE61,VAE62,VAE63,VAE64
J589,1,CC(C=O)Cc1ccc(C(C)C)cc1,-1.944526076,1.679952502,-2.263068914,-0.470525235,0.249185577,-0.84044987,1.365574121,-0.93083173,0.443653613,-0.060689405,-0.642375708,-0.531773746,0.5723508,-2.659641504,-0.137190536,-0.151089266,1.114178538,-0.212715879,-0.625812829,1.368662477,0.992061138,-1.639597058,0.509819686,-0.047666155,-0.460653126,0.093097843,1.261745811,0.248252824,-0.184756607,-1.041926503,-0.865290701,-0.858889997,1.788873911,-0.650849819,0.464129895,2.773660898,-1.54823947,-1.002321124,-0.735528052,-0.511869013,1.870048046,-0.526021063,-0.640792608,1.021326184,-0.648457408,1.131096721,-0.184144348,-0.722608387,-0.509229064,0.319838047,0.236623615,-0.102643512,1.59474504,-0.10287334,0.522893548,-0.039200731,1.120056987,0.136207163,0.159886509,1.323852897,-1.276253462,-1.177637577,0.243264765,-0.195218354
J1020,0,NC(CSSCC(N)C(=O)O)C(=O)O,-3.410791159,1.217956185,-1.500174046,0.101256244,0.263797075,-0.913054466,-1.829050183,0.002801217,0.235686332,-2.406857967,0.786123693,-2.51629591,-1.056991816,-3.119959354,-0.397465527,0.775176466,-0.422516823,-0.793586731,0.147956237,-0.317302048,-0.421651989,-2.67835927,-0.683365107,-3.448460817,0.961476266,-3.235961437,-0.035290845,0.392213672,1.382828474,0.060721964,1.60139215,-0.164254114,-0.909020185,-0.657682538,1.344573021,0.508975148,0.182484865,0.234016091,-0.805937529,-2.174539566,-0.294715464,1.446026564,-1.869451761,0.08125709,-1.904955864,2.547818184,0.741464198,-1.847793937,-0.314315706,-0.959577501,-2.023449421,-0.866639137,2.503009081,0.423169047,0.19130452,-1.181098819,0.85593605,-3.597098351,0.463224292,1.423725486,-0.057816803,-0.422254562,1.216345191,0.289865881
J250,1,ON=C1C=CCCC1,-1.666890979,0.953520119,-1.672516584,0.315651894,-0.648014367,-0.291090548,0.389501154,-1.095691204,-1.543393493,-0.17801398,0.789965808,-0.373072684,0.020239279,-1.938450933,-1.027799368,-0.308382452,-0.015684299,-0.984440207,0.157845095,1.283639193,1.260522842,-2.107173443,0.22890611,-0.946816444,-1.632537484,-1.133400559,-0.487314373,0.502255321,0.907764256,-1.379204988,0.675925374,-1.521382689,0.923424602,-1.848200321,0.934236705,2.054068804,-2.323868275,-1.403697729,-0.752479613,-1.669990778,-0.047374725,0.412592679,-1.119070172,1.036237836,0.104583211,0.169263005,-1.486372232,-1.289016008,0.181913212,0.270912766,-0.346341968,-0.182315856,-0.441778719,-1.247993946,-0.211225063,0.666868687,0.596529484,-0.059915889,-0.255317748,0.566586137,-0.959209204,-0.534034073,-0.270522296,-0.56685406
J76,0,CC(=O)OC(C)(C)C1CC=C(C)CC1,-3.186931372,0.622285068,-2.41443181,-0.635802984,-0.072923221,-0.484285802,1.473654866,0.458000064,-0.553194284,0.524354517,-0.331819177,-0.877256691,0.681629419,-2.165668011,-0.039286438,-0.483953238,-0.184515297,-1.078638673,-1.318340302,0.979851067,0.235878259,-1.565172672,0.574866831,-0.057952944,-0.993010402,-0.72728163,-1.132348776,1.079982996,-0.09736748,-1.080770373,-0.933356881,-2.476771355,1.224081516,-0.831495225,0.235950634,1.587921262,-1.046250224,-1.904076934,-0.913086474,-0.621348321,0.173960015,-0.79497689,-0.62610507,0.723003626,-0.072561339,0.88595432,-1.419088602,-0.079696193,-0.481463194,0.492458045,-0.582037389,-1.061861634,0.115184344,-1.400156736,0.746947289,0.023468643,0.416284353,-0.534405589,-0.604349017,0.531837106,-0.378896266,-0.870353878,0.940123439,-0.181671277
J176,0,CCOc1ccc(Cc2cc(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)ccc2Cl)cc1,0.031029772,-3.868598461,1.339806795,-1.951870084,4.852596283,-1.260975599,-1.811480999,1.305079341,3.266315937,1.665036917,3.0886724,-4.282341957,2.437498569,7.09902668,5.679828167,-1.011522174,1.712500572,2.24424243,-0.872285843,-4.564670086,1.690018058,1.842537403,-1.927580833,-1.888747573,0.826940358,0.133628488,-0.493748963,6.846061707,-3.786215782,5.806782722,-3.88574791,-0.612064362,0.873188198,2.053569078,-4.560639381,-0.407119632,4.89946413,1.891728401,1.386181474,3.988784552,-2.48892355,-2.294631243,-1.773897171,-1.770922422,-0.82609266,1.488119364,-0.495786011,-2.628748894,1.857741356,0.019164417,2.553360701,1.627028108,-0.199846536,1.666074395,0.496465385,-4.383766651,3.12176156,-4.385917664,0.330980569,0.293456823,-2.612394571,0.589793622,-0.142610341,5.131612778
J1181,0,OCC(O)C1OC(c2ccc(Cl)cc2)OC2COC(c3ccc(Cl)cc3)OC21,-1.075496078,-1.772705197,-0.086812526,-1.550780058,3.56204772,2.648654938,-0.30752185,1.445632219,1.782504439,1.508437157,2.252598763,-0.968177855,0.95600611,2.693320036,2.730704546,-0.722517848,3.087076187,2.293176174,-0.134603381,-1.197887659,0.412109464,-0.908348918,-0.486797392,-1.3954283,1.811642051,-1.258753181,0.782833457,4.619227409,-2.473303795,1.374599576,-0.534690499,-0.554717362,1.065351844,-0.523024678,0.25527662,1.399170876,1.551162124,1.570181012,1.088113308,0.367610097,0.6947245,-0.507101417,-2.568473577,-0.775943756,-0.243342727,3.370271683,-0.111350134,-0.493297547,-0.504195988,1.282216549,-0.566993535,0.537490487,0.195883155,0.007256448,1.616158605,-0.298047006,1.270105243,0.616951883,1.200274348,0.225111514,-0.958009362,-0.877188861,-0.78567791,1.682086468
J1158,0,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-3.695124388,-2.03781271,2.009480238,-4.454662323,1.323110819,-3.149315834,-4.331208229,-1.359963298,1.678659678,1.554012537,-1.131083488,0.995701075,0.398907632,-0.351135671,2.24111867,-0.569480836,3.524568081,0.624280751,0.588893294,0.972068846,0.673800528,2.792961836,-2.749461174,-2.898053885,-2.247596979,2.64838624,0.763677061,0.896938682,-0.438555449,2.079789877,-2.044916153,-1.487260103,3.918799162,0.525906503,-1.106201649,-1.467265606,0.102720149,2.242177486,1.395477533,0.441880703,0.557143807,-0.447787464,-0.619345307,-2.012714148,-1.487269282,2.294661999,1.48543179,0.502415001,-1.118581057,0.261891663,2.998490572,1.758556008,-1.15063405,-4.26925087,0.192527711,-3.236332893,-0.300993055,-5.186807156,1.4521662,-4.173882008,-1.133222103,0.471669555,1.579017878,1.595046282
J329,1,CC(C)CP(=S)(S)CC(C)C,-2.600455999,1.288906932,-2.248582125,-0.293250531,-0.319199473,-1.957575917,1.03072226,-1.167215347,0.504746199,-0.639821053,-0.187132105,-0.811962962,-0.917218864,-3.940796137,-1.823719382,-0.385638893,2.524430513,-0.892504454,-0.066391781,1.333651066,0.642500639,-0.723790765,-1.615707517,-1.607581854,-1.963125229,-1.232263565,-0.078384846,-1.898027897,-0.006042151,-0.784683049,0.057236351,-0.742369354,1.421477079,-0.095546089,-0.797478735,2.171825171,-0.824161708,-0.491791725,-0.40637058,-0.661870301,0.172004104,-0.452926308,-1.075651169,1.718948007,-0.124043055,1.667171359,-1.052202225,-0.933095098,-0.561990976,0.164092034,0.259320557,-0.907560408,1.66966784,1.117587447,-0.507193983,-0.118213303,0.620689094,-0.221199617,0.068102188,0.358579278,-1.002423525,-0.276537538,0.953186214,-0.842272937
J640,1,CC1=C(C=O)C(C)(C)CC=C1,-2.15440011,0.458241701,-2.525836706,0.216025323,-0.435378522,-0.979780018,0.899296284,-0.604828119,-1.054148078,0.014005164,0.006462139,-0.393312842,0.035721213,-2.682759285,-0.461048335,-0.270992935,-0.172256708,-0.818993092,-0.479209781,1.364782214,0.320201814,-1.917921782,0.485349834,-0.383053005,-1.595674396,-0.91275233,-0.50353843,0.748317122,-0.063287124,-1.763504982,-0.052199848,-1.538092852,1.029072285,-1.797158241,0.123877712,2.858803272,-1.662320614,-1.795161724,-0.874083221,-0.789916396,-0.806388438,0.050150599,-0.410362363,1.307324171,-0.435534298,-0.565763474,-1.875552654,-1.775237918,-0.383261591,-0.165514335,-0.470965564,-0.972480237,-0.730690658,-2.026702881,1.245537639,0.358984232,0.783245206,0.263812065,-0.460952818,0.384649068,-0.462491274,0.021990161,-0.225017101,-0.589013696
J482,0,COc1ccc2nc(Cl)cc(C)c2c1,-0.851626217,0.400022686,-3.284650087,-1.432974458,-0.347573161,-0.132242545,1.353817105,-0.233855233,0.468604982,-1.702424526,-0.155693844,-0.206977129,1.042759418,-1.15130055,-0.442997456,0.596919775,0.141904026,-1.470208645,-0.657688737,-0.222832128,0.809569359,-1.019503713,-0.08196485,-0.677578151,-0.334986597,-0.761636138,0.710079372,0.087346412,0.268653542,-1.764746189,0.840397179,-2.190443039,1.375820279,-0.458238214,0.70154649,3.467508554,-0.460104316,-0.24156557,-0.857664645,-0.844320774,0.640614688,-0.910325289,-1.009906769,0.588792145,1.442238092,1.553726673,-0.066815205,-0.184729382,1.05300653,0.327448756,0.358346373,0.645977855,-1.18117702,-0.327165902,-0.771125734,1.403565764,-0.835650086,2.277213335,0.139928594,1.041177154,0.147637233,-0.905771554,0.015414886,0.590006173
