ID,label,SMILES,VAE1,VAE2,VAE3,VAE4,VAE5,VAE6,VAE7,VAE8,VAE9,VAE10,VAE11,VAE12,VAE13,VAE14,VAE15,VAE16,VAE17,VAE18,VAE19,VAE20,VAE21,VAE22,VAE23,VAE24,VAE25,VAE26,VAE27,VAE28,VAE29,VAE30,VAE31,VAE32,VAE33,VAE34,VAE35,VAE36,VAE37,VAE38,VAE39,VAE40,VAE41,VAE42,VAE43,VAE44,VAE45,VAE46,VAE47,VAE48,VAE49,VAE50,VAE51,VAE52,VAE53,VAE54,VAE55,VAE56,VAE57,VAE58,VAE59,VAE60,VAE61,VAE62,VAE63,VAE64
J73,1,Nc1ccc(OCCCOc2ccc(N)cc2N)c(N)c1,-2.100618362,-0.586608291,-0.75727886,-1.626934171,0.969888508,0.804785967,-2.081418991,-0.470079213,0.690943718,-3.104783773,1.127616167,-0.384001851,-0.246615201,-0.316354483,1.279695034,-0.13412936,0.756603003,-0.265682459,0.189885467,-1.820619941,-1.717141032,-1.751976132,-0.4297629,-0.700173676,-0.498287201,-1.356877923,1.165073276,0.883913696,-0.305217743,0.698782802,1.183235765,0.178290665,-0.094967559,-0.691884696,1.909622073,2.41937089,-2.876984119,2.278174162,-0.36350736,0.740866125,-1.549213529,-0.647543192,-1.521484256,0.93609339,1.27643466,0.830539823,1.686034918,-1.219363213,-1.291033387,0.360583127,0.37679708,-1.544659615,0.693809152,-0.241829172,0.672588408,1.39241147,-0.962723613,-3.221292973,1.13534379,-1.090478897,0.34395051,-1.138967395,1.34333694,1.649480224
J1261,0,Cc1ccc2[nH]c3cc4c(=O)c5cc(C)ccc5[nH]c4cc3c(=O)c2c1,1.841649413,-1.519975901,-2.771369696,-3.686443806,0.170111507,2.360709667,1.401763678,2.158487082,1.981712937,-2.207926989,3.50174737,0.701054692,2.075654745,1.246184707,0.254345417,-1.054070473,0.368237823,-0.234143332,1.240544319,-1.282115102,2.35041523,-0.83548975,-2.649922371,1.368792653,0.549350381,1.249170899,1.759339809,3.73972106,-3.773452282,0.44829154,0.742886662,-2.531219959,0.636208355,-0.25579229,-1.331456423,4.745495319,1.123302221,2.787779331,-0.474488229,1.928374887,2.452242851,-2.561126232,0.066907674,-0.108953401,1.214584351,0.411511123,0.305951476,-2.105657339,0.540256858,-1.020852089,-3.281210899,0.807232976,0.44316557,-0.935459316,0.7792027,-1.125389457,0.957374454,2.958723068,0.945447981,0.229014769,-0.772841871,-0.854330301,-1.456527829,1.970104933
J868,0,CCCCOC(=O)c1ccccc1N=Nc1c(O)c(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc2ccccc12,1.295197129,-3.594814539,4.557981491,-1.464974999,0.991179883,-0.918330252,-4.306161404,0.391141921,4.289835453,-1.648768067,5.259111881,2.303596497,0.946329117,5.325717926,4.613995552,-0.127717659,0.332074761,2.072214365,0.001791939,-4.150657177,0.221079379,3.141039371,-0.397452354,2.109509945,0.954706967,1.36557889,-0.123863891,5.055553913,-5.694715023,4.149003983,-2.376564741,2.974153996,0.3265903,2.791321754,-2.288430691,1.636856079,4.073652267,4.021290302,1.570655346,5.878353119,-1.997662425,-1.95717442,-2.044480801,2.741249084,1.834770441,-2.758750916,2.122925282,-0.076086059,-0.920084238,-2.077824831,0.738494873,-0.582421303,-0.484651715,-1.951550841,-1.02111268,-1.973245382,0.911744475,-1.796859026,2.137617826,-3.07837224,0.681298614,-0.618409514,-2.799582005,5.824892044
J672,0,CC(=O)CC(C)=O,-2.005407572,1.10948348,-2.211723804,0.276137292,-0.410391569,-0.872987807,-0.439920455,0.72335881,-0.592995524,-0.834457219,-0.424554348,-2.188452959,1.126271844,-2.173041582,-0.989438474,-0.500930905,0.539672136,-1.533291101,-0.543974996,1.276428819,1.566471696,-1.426702976,0.515914381,-0.316968203,0.1521779,-0.685401797,0.121980116,0.018392198,0.934955299,-1.473039508,0.27213499,-1.648776531,0.573063433,-1.739034176,0.547102273,1.772625566,-1.153276682,-1.750206113,-0.588099778,-1.894233227,0.21685493,0.160479888,-0.758803546,-0.010250166,-0.213216543,0.888138294,-0.148330331,-0.723013043,0.004317835,-0.001037894,0.149961263,1.027635813,-0.145566374,0.575785279,0.098568186,0.268894672,0.088721626,-0.472485304,-0.485460341,1.05439055,-2.066934109,-1.671201348,1.274463415,-0.244276628
J1223,0,COc1cc2c(cc1OC)C(C)(C)C(=Cc1ccccc1)C2=O,-0.038861912,-0.876820505,-2.862842321,-0.306383193,1.282411456,1.045367241,1.1106565,-0.156067252,0.653526425,-0.177653357,0.32558018,-1.599034905,-0.02231206,0.54605329,1.035863042,-0.689016581,0.893909276,-0.214987859,-0.555935681,0.160509586,0.363111764,-1.065924287,-1.480180144,-0.038123976,-0.983425021,0.751552939,0.330205381,3.729372501,-1.50667417,-0.910622299,-0.037143264,-1.205422044,1.840497255,-0.036945835,-1.056765437,3.889472961,-0.333484054,0.40159452,-0.444757998,0.178400874,0.716757238,-1.626087308,-0.315449864,0.477127135,-0.440338403,0.678749502,-1.226375341,-1.955939412,1.122402191,-0.27771908,-1.927941084,-0.907082796,-1.781140924,-1.807073832,1.090997934,0.870156765,-0.148082733,1.347152352,0.824722648,-0.323374957,0.210168943,0.037683599,-0.65729028,2.336529732
J619,1,O=C(O)C=CC(=O)O,-1.886758089,1.03341043,-1.257162571,-0.3337605,0.322702527,-0.741006374,-0.851746023,-0.000985473,-1.549117088,-1.365372777,0.765868485,-2.728797197,1.458496094,-2.519174576,-0.017263144,1.079018235,0.139279753,-0.620670378,-0.172482014,1.049350858,2.482038021,-2.392453432,0.474519908,-1.076345801,-0.199828461,-1.722077012,0.001062304,1.094930172,1.748559356,-1.384563684,0.482680708,-1.512416124,-0.522228301,-1.504758,1.279928923,1.649405003,-0.64388442,-1.370743513,-1.229638934,-2.88960433,0.019642323,1.111684561,-1.663538337,0.112300858,-0.945116043,1.576121926,-0.347691894,-1.357541084,1.698072076,-0.450738013,-0.717170477,-0.201409951,-0.410803586,-1.012426734,-0.823693275,-0.231456265,1.123338819,-1.748337984,0.034275316,0.888268888,-0.710398912,-1.447392702,0.470891297,0.284532666
J518,0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.410886765,0.266403615,0.057427227,0.055814974,2.780389071,0.454004765,-1.059961796,-0.072412521,0.663393021,0.423555106,-0.834564865,-1.25412333,1.373661637,-1.387075663,2.19406271,0.037741877,1.511541605,-3.197134972,2.50188899,-0.481182188,2.779686689,-1.539221644,1.432795882,-0.389416635,0.237767756,-1.565241456,0.709774017,3.247244358,1.595563412,-2.090502977,-2.402353764,-0.247820675,-1.124306679,1.573195815,-2.392923117,-0.842344165,0.207662612,-0.884851933,-4.321721077,-0.912953615,-2.497477055,0.1138715,0.711238265,-0.772228003,-2.373929024,2.403678417,-0.311347723,1.612408996,-1.505878687,-1.108026505,4.473603725,4.730538368,1.30746901,-0.613660872,0.573844075,0.606204093,4.665987015,3.128529787,-1.174199939,-6.524263859,0.622636378,3.286222696,0.685835719,0.998044372
J7,1,CN(C)CCCN,-2.014600515,1.225645065,-2.40274334,-0.878006339,-0.236497492,-0.183062613,-0.942367196,0.248227715,-1.517818213,-0.379572809,-0.870315015,-1.16557467,-0.214574262,-3.13576746,-0.964697123,-0.485501468,0.0695481,-2.461725473,-0.126319364,1.177747607,1.809529305,-1.480451703,-0.690320075,-1.265221953,1.08101511,-0.45238474,-1.725353241,-1.320309997,0.992108583,-1.606700778,1.423249006,-0.717917442,0.857794225,-1.433610916,1.114926577,1.484117627,-1.831981897,-0.309390962,-0.176411122,-1.908098102,0.329392076,-0.031886656,-0.841627419,-0.455143452,-0.683500648,0.90148139,0.278978437,-1.198273301,0.457750082,-0.250475824,-0.20918037,0.117605567,0.083859503,0.567053318,0.53961128,1.687795401,-0.623859167,-0.533866227,0.870916486,0.184865206,-1.627778888,-1.009845376,0.671298027,-0.446894169
J1194,0,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.880897522,0.776856184,0.180271506,-1.407346129,0.090464249,-2.246596098,-0.093220711,-0.245809972,1.490487576,-0.19690758,-0.011583738,-0.608439744,-0.356400907,-0.720309138,2.542726755,-0.618032098,0.478304714,0.256021857,-1.655136347,0.932293773,-0.618962824,-0.196585774,0.543426037,-0.325637639,-2.110931396,0.310117275,0.631354928,2.867390871,-0.486425936,0.604335606,-1.369607091,-0.314283222,2.487567902,-0.180399403,1.110968351,2.477505445,-0.038894054,1.488449454,1.565634608,0.426623642,-0.764000714,-0.369374633,0.00260701,-0.427080214,-0.621376753,0.409193128,-0.048348792,0.736632526,-1.215961933,-0.295535743,0.21169129,1.5460428,0.478409171,-0.677269697,-0.666945696,-0.722197652,0.550958455,-0.685919464,0.97959733,-0.440110415,0.60762018,1.057542443,-0.284139901,1.15965724
J228,1,CC(C)COC(=O)C(C)Cl,-2.53050828,1.121821404,-1.835412979,-0.481616884,-0.036693927,-1.780697465,0.475841671,-0.028537218,0.333967298,-0.262713015,-1.156836152,-1.348717809,0.44960326,-3.002325535,-0.626345158,-0.821630955,1.123852849,-0.586248338,-0.833956957,1.527532458,1.030310631,-0.87130785,-0.056777559,-0.874600589,-0.724695623,-1.067744732,0.206128985,-0.312407851,0.475056529,-1.024181724,0.005283397,-1.82024467,1.138787866,-1.106123686,0.32115072,1.533927798,-0.617722034,-1.341879606,-0.455592811,-1.468383312,0.954354644,0.141676873,-1.127193093,0.41441527,-0.441066265,1.829504251,-0.053882033,-0.857851863,0.061318398,0.573892117,0.255949944,0.746415913,0.30353269,-0.030726958,0.827329457,0.00341719,0.21759361,-0.086619802,-1.039283752,0.470273703,-1.011115789,-1.359178424,0.168713972,-0.710460305
