TPSA,PLATE
120,Sensitizer
60,Non-sensitizer
120,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
60,Sensitizer
0,Non-sensitizer
0,Sensitizer
30,Non-sensitizer
0,Sensitizer
30,Non-sensitizer
30,Sensitizer
30,Non-sensitizer
90,Non-sensitizer
30,Sensitizer
60,Non-sensitizer
30,Sensitizer
60,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
30,Sensitizer
30,Sensitizer
30,Non-sensitizer
30,Sensitizer
120,Non-sensitizer
30,Non-sensitizer
30,Sensitizer
30,Sensitizer
60,Sensitizer
60,Sensitizer
120,Non-sensitizer
30,Sensitizer
0,Sensitizer
120,Non-sensitizer
30,Sensitizer
0,Sensitizer
0,Non-sensitizer
60,Sensitizer
60,Non-sensitizer
30,Non-sensitizer
150,Non-sensitizer
30,Non-sensitizer
30,Sensitizer
30,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
60,Non-sensitizer
30,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
30,Sensitizer
30,Sensitizer
30,Sensitizer
30,Sensitizer
90,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
0,Non-sensitizer
90,Non-sensitizer
30,Non-sensitizer
150,Non-sensitizer
90,Sensitizer
30,Sensitizer
0,Non-sensitizer
0,Sensitizer
30,Non-sensitizer
90,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
0,Non-sensitizer
30,Sensitizer
0,Non-sensitizer
60,Non-sensitizer
150,Non-sensitizer
60,Sensitizer
0,Sensitizer
60,Non-sensitizer
30,Non-sensitizer
0,Non-sensitizer
60,Non-sensitizer
120,Non-sensitizer
0,Non-sensitizer
90,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
60,Non-sensitizer
60,Sensitizer
30,Sensitizer
210,Sensitizer
0,Non-sensitizer
0,Sensitizer
30,Non-sensitizer
0,Sensitizer
60,Non-sensitizer
30,Sensitizer
90,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
60,Non-sensitizer
90,Sensitizer
30,Sensitizer
60,Non-sensitizer
0,Non-sensitizer
60,Non-sensitizer
0,Sensitizer
0,Sensitizer
0,Sensitizer
30,Non-sensitizer
30,Sensitizer
60,Non-sensitizer
30,Non-sensitizer
0,Sensitizer
30,Sensitizer
0,Non-sensitizer
30,Sensitizer
0,Sensitizer
30,Non-sensitizer
60,Sensitizer
30,Non-sensitizer
0,Sensitizer
0,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
90,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
0,Sensitizer
180,Sensitizer
150,Non-sensitizer
90,Sensitizer
0,Sensitizer
60,Non-sensitizer
90,Non-sensitizer
0,Non-sensitizer
90,Non-sensitizer
0,Non-sensitizer
30,Non-sensitizer
30,Sensitizer
60,Non-sensitizer
90,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
30,Sensitizer
60,Non-sensitizer
30,Sensitizer
30,Non-sensitizer
60,Non-sensitizer
30,Non-sensitizer
30,Non-sensitizer
