ID,label,SMILES
J73,1,Nc1ccc(OCCCOc2ccc(N)cc2N)c(N)c1
J1261,0,Cc1ccc2[nH]c3cc4c(=O)c5cc(C)ccc5[nH]c4cc3c(=O)c2c1
J868,0,CCCCOC(=O)c1ccccc1N=Nc1c(O)c(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc2ccccc12
J672,0,CC(=O)CC(C)=O
J1223,0,COc1cc2c(cc1OC)C(C)(C)C(=Cc1ccccc1)C2=O
J619,1,O=C(O)C=CC(=O)O
J518,0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
J7,1,CN(C)CCCN
J1194,0,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
J228,1,CC(C)COC(=O)C(C)Cl
J797,0,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C2=Nc3cccc4cccc(c34)N12
J683,1,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C
J10,0,OCCOCCO
A146A824,0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
J519,1,O=C=NCCCCCCN=C=O
J660,0,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2Op2oc3ccccc3c3ccccc3o2)c(Op2oc3ccccc3c3ccccc3o2)c(C(C)(C)C)c1
J385,1,Cc1ccc(O)c(-n2nc3ccccc3n2)c1
J218,0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
J108,1,CCCCCCCCCCCCS
J561,0,S=C(SSSSSSC(=S)N1CCCCC1)N1CCCCC1
J288,1,Oc1ccc(O)o1
J266,1,CCCCC(O)C(N)CC
J1043,0,CNC(N)=O
J1215,1,O=C1Nc2ccccc2C1=O
J569,0,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1
J1162,0,C=C(C)C(N)=O
J1200,1,CCC=CCC(C)OC(=O)c1ccccc1O
J220,1,N#CC(=O)c1cccc(Cl)c1Cl
