ID,label,SMILES,ALogP,Mw,TPSA
J73,Sensitizer,Nc1ccc(OCCCOc2ccc(N)cc2N)c(N)c1,1.8633,288.351,122.54
J1261,Non-sensitizer,Cc1ccc2[nH]c3cc4c(=O)c5cc(C)ccc5[nH]c4cc3c(=O)c2c1,4.29284,340.382,65.72
J868,Non-sensitizer,CCCCOC(=O)c1ccccc1N=Nc1c(O)c(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc2ccccc12,6.3396,523.549,149
J672,Non-sensitizer,CC(=O)CC(C)=O,0.5545,100.117,34.14
J1223,Non-sensitizer,COc1cc2c(cc1OC)C(C)(C)C(=Cc1ccccc1)C2=O,4.2613,308.377,35.53
J619,Sensitizer,O=C(O)C=CC(=O)O,-0.2882,116.072,74.6
J518,Non-sensitizer,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.1352,348.102,0
J7,Sensitizer,CN(C)CCCN,-0.1032,102.181,29.26
J1194,Non-sensitizer,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,4.0005,312.365,52.6
J228,Sensitizer,CC(C)COC(=O)C(C)Cl,1.8129,164.632,26.3
J797,Non-sensitizer,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C2=Nc3cccc4cccc(c34)N12,6.5055,408.071,32.67
J683,Sensitizer,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,2.584,226.36,40.46
J10,Non-sensitizer,OCCOCCO,-1.0124,106.121,49.69
A146A824,Non-sensitizer,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,3.13904,437.529,119.03
J519,Sensitizer,O=C=NCCCCCCN=C=O,1.2184,168.196,58.86
J660,Non-sensitizer,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2Op2oc3ccccc3c3ccccc3o2)c(Op2oc3ccccc3c3ccccc3o2)c(C(C)(C)C)c1,14.8568,786.798,89.48
J385,Sensitizer,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,2.43452,225.251,50.94
J218,Non-sensitizer,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,3.5601,318.328,66.76
J108,Sensitizer,CCCCCCCCCCCCS,4.8371,202.407,0
J561,Non-sensitizer,S=C(SSSSSSC(=S)N1CCCCC1)N1CCCCC1,6.5022,448.842,6.48
J288,Sensitizer,Oc1ccc(O)o1,0.6908,100.073,53.6
J266,Sensitizer,CCCCC(O)C(N)CC,1.2748,145.246,46.25
J1043,Non-sensitizer,CNC(N)=O,-0.7155,74.083,55.12
J1215,Sensitizer,O=C1Nc2ccccc2C1=O,0.8214,147.133,46.17
J569,Non-sensitizer,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,4.21412,386.385,136.62
J1162,Non-sensitizer,C=C(C)C(N)=O,0.0478,85.106,43.09
J1200,Sensitizer,CCC=CCC(C)OC(=O)c1ccccc1O,3.2938,234.295,46.53
J220,Sensitizer,N#CC(=O)c1cccc(Cl)c1Cl,2.69968,200.024,40.86
J341,Sensitizer,O=C(O)C(=O)O,-0.8444,90.034,74.6
A146A337,Sensitizer,C=CC(=O)OCCCOCC(C)(C)COCCCOC(=O)C=C,2.2844,328.405,71.06
A146A1000,Non-sensitizer,O=C(O)C(O)C(O)C(O)C(O)CO,-3.4931,196.155,138.45
J1248,Sensitizer,Cc1cc(N)ccc1N,1.15942,122.171,52.04
A146A524,Sensitizer,CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,14.7638,629.048,27.69
J659,Non-sensitizer,O=C(C1CCC(C(=O)N(CCO)CCO)CC1)N(CCO)CCO,-1.5808,346.424,121.54
A146A229,Sensitizer,CC(O)=CC(=O)c1cc(C)c(C)c(C)c1C,3.56478,218.296,37.3
J537,Sensitizer,CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.0488,263.425,23.47
J1095,Non-sensitizer,CC(C)O,0.3871,60.096,20.23
J286,Sensitizer,Nc1c(OCCO)nn2ccccc12,0.2876,193.206,72.78
J1283,Non-sensitizer,O=C(O)CCC(=O)O,-0.0642,118.088,74.6
J790,Non-sensitizer,O=CNc1cc(C(O)CBr)ccc1OCc1ccccc1,3.2622,350.212,58.56
J935,Non-sensitizer,COc1ccccc1NC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,6.6688,689.556,159.58
J179,Non-sensitizer,CC(C)NO,0.3736,75.111,32.26
J451,Sensitizer,CNc1ccc(O)cc1,1.4339,123.155,32.26
